Discipline,Event
Archery,"Target Archery, 33 metres, Individual, Men  (discontinued)"
Archery,"Target Archery, 50 metres, Individual, Men  (discontinued)"
Archery,"Target Archery, 28 metres, Team, Men  (discontinued)"
Archery,"Target Archery, 33 metres, Team, Men  (discontinued)"
Archery,"Target Archery, 50 metres, Team, Men  (discontinued)"
Archery,"Pole Archery, Small Birds, Individual, Men  (discontinued)"
Archery,"Pole Archery, Large Birds, Individual, Men  (discontinued)"
Archery,"Pole Archery, Small Birds, Team, Men  (discontinued)"
Archery,"Pole Archery, Large Birds, Team, Men  (discontinued)"
Archery,"Au Chapelet, 33 metres, Men  (discontinued)"
Archery,"Au Chapelet, 50 metres, Men  (discontinued)"
Archery,"Au Cordon Doré, 33 metres, Men  (discontinued)"
Archery,"Au Cordon Doré, 50 metres, Men  (discontinued)"
Archery,"Sur La Perche À La Herse, Men  (discontinued)"
Archery,"Sur La Perche À La Pyramide, Men  (discontinued)"
Archery,"Championnat Du Monde, Men  (discontinued)"
Archery,"Double American Round, Men  (discontinued)"
Archery,"Double York Round, Men  (discontinued)"
Archery,"Continental Style, Men  (discontinued)"
Archery,"Team Round, Men  (discontinued)"
Archery,"Unknown Event, Men  (discontinued)"
Archery,"Au Chapelet - 33 metres, Team, Men  (discontinued)"
Archery,"Au Chapelet - 50 metres, Team, Men  (discontinued)"
Archery,"Au Cordon Doré - 33 metres, Team, Men  (discontinued)"
Archery,"Au Cordon Doré - 50 metres, Team, Men  (discontinued)"
Archery,"French Championship, Individual, Men  (discontinued)"
Archery,"French Championship, Team, Men  (discontinued)"
Archery,"Crossbows, Large Arrows - 35 metres, Individual, Men  (discontinued)"
Archery,"Crossbows, Large Arrows - 35 metres, Team, Men  (discontinued)"
Archery,"Crossbows, Arrows - 28 metres, Individual, Men  (discontinued)"
Archery,"Crossbows, Arrows - 28 metres, Team, Men  (discontinued)"
Archery,"Crossbows, Small Arrows - 20 metres, Individual, Men  (discontinued)"
Archery,"Crossbows, French Championship, Men  (discontinued)"
Archery,"Flight Shooting, Men  (discontinued)"
Archery,"Double Columbia Round, Women  (discontinued)"
Archery,"Double National Round, Women  (discontinued)"
Archery,"Team Round, Women  (discontinued)"
Archery,"Flight Shooting, Women  (discontinued)"
Art Competitions,"Drama Competition, Men  (discontinued)"
Art Competitions,"Poetry Competition, Men  (discontinued)"
Art Competitions,"Music, Compositions, Men  (discontinued)"
Art Competitions,"Music, Groups of Musicians, Men  (discontinued)"
Art Competitions,"Intellectual Competition, Men  (discontinued)"
Art Competitions,"Architecture, Open  (discontinued)"
Art Competitions,"Architecture, Designs For Town Planning, Open  (discontinued)"
Art Competitions,"Architecture, Architectural Designs, Open  (discontinued)"
Art Competitions,"Architecture, Further Entries, Open  (discontinued)"
Art Competitions,"Literature, Open  (discontinued)"
Art Competitions,"Literature, Dramatic Works, Open  (discontinued)"
Art Competitions,"Literature, Epic Works, Open  (discontinued)"
Art Competitions,"Literature, Lyric Works, Open  (discontinued)"
Art Competitions,"Literature, Unknown Event, Open  (discontinued)"
Art Competitions,"Music, Open  (discontinued)"
Art Competitions,"Music, Compositions For Orchestra, Open  (discontinued)"
Art Competitions,"Music, Compositions For Solo Or Chorus, Open  (discontinued)"
Art Competitions,"Music, Instrumental And Chamber, Open  (discontinued)"
Art Competitions,"Painting, Open  (discontinued)"
Art Competitions,"Music, Unknown Event, Open  (discontinued)"
Art Competitions,"Painting, Drawings And Water Colors, Open  (discontinued)"
Art Competitions,"Painting, Graphic Arts, Open  (discontinued)"
Art Competitions,"Painting, Paintings, Open  (discontinued)"
Art Competitions,"Painting, Unknown Event, Open  (discontinued)"
Art Competitions,"Sculpturing, Open  (discontinued)"
Art Competitions,"Painting, Applied Arts, Open  (discontinued)"
Art Competitions,"Sculpturing, Medals, Open  (discontinued)"
Art Competitions,"Sculpturing, Medals And Plaques, Open  (discontinued)"
Art Competitions,"Sculpturing, Medals And Reliefs, Open  (discontinued)"
Art Competitions,"Sculpturing, Reliefs, Open  (discontinued)"
Art Competitions,"Sculpturing, Statues, Open  (discontinued)"
Art Competitions,"Sculpturing, Unknown Event, Open  (discontinued)"
Art Competitions,"Unknown Event, Open  (discontinued)"
Artistic Gymnastics,"Individual All-Around, Men"
Artistic Gymnastics,"Team All-Around, Men"
Artistic Gymnastics,"Floor Exercise, Men"
Artistic Gymnastics,"Horse Vault, Men"
Artistic Gymnastics,"Parallel Bars, Men"
Artistic Gymnastics,"Horizontal Bar, Men"
Artistic Gymnastics,"Rings, Men"
Artistic Gymnastics,"Pommelled Horse, Men"
Artistic Gymnastics,"Individual All-Around, Women"
Artistic Gymnastics,"Team All-Around, Women"
Artistic Gymnastics,"Floor Exercise, Women"
Artistic Gymnastics,"Horse Vault, Women"
Artistic Gymnastics,"Uneven Bars, Women"
Artistic Gymnastics,"Balance Beam, Women"
Artistic Gymnastics,"Individual All-Around, Boys"
Artistic Gymnastics,"Floor Exercise, Boys"
Artistic Gymnastics,"Vault, Boys"
Artistic Gymnastics,"Parallel Bars, Boys"
Artistic Gymnastics,"Horizontal Bar, Boys"
Artistic Gymnastics,"Rings, Boys"
Artistic Gymnastics,"Pommelled Horse, Boys"
Artistic Gymnastics,"Individual All-Around, Girls"
Artistic Gymnastics,"Floor Exercise, Girls"
Artistic Gymnastics,"Vault, Girls"
Artistic Gymnastics,"Uneven Bars, Girls"
Artistic Gymnastics,"Balance Beam, Girls"
Artistic Gymnastics,"Individual All-Around, Field Sports, Men  (discontinued)"
Artistic Gymnastics,"Individual All-Around, 4 Events, Men  (discontinued)"
Artistic Gymnastics,"Individual All-Around, 5 Events, Men  (discontinued)"
Artistic Gymnastics,"Individual All-Around, Apparatus Work, Men  (discontinued)"
Artistic Gymnastics,"Team All-Around, Free System, Men  (discontinued)"
Artistic Gymnastics,"Team All-Around, Swedish System, Men  (discontinued)"
Artistic Gymnastics,"Parallel Bars, Teams, Men  (discontinued)"
Artistic Gymnastics,"Horizontal Bar, Teams, Men  (discontinued)"
Artistic Gymnastics,"Rope Climbing, Men  (discontinued)"
Artistic Gymnastics,"Pole Climbing, Men  (discontinued)"
Artistic Gymnastics,"Pole Climbing, Inclined Pole, Men  (discontinued)"
Artistic Gymnastics,"Club Swinging, Men  (discontinued)"
Artistic Gymnastics,"Pole Climbing, Greasy Pole, Men  (discontinued)"
Artistic Gymnastics,"Tumbling, Men  (discontinued)"
Artistic Gymnastics,"Side Horse, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Simultaneous, Excellence Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Simultaneous, Superior Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Simultaneous, First Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Simultaneous, Second Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Simultaneous, Third Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Excellence Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Superior Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, First Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Second Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Third Division, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Special Contest, Handsfree, Group 1, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Special Contest, Handsfree, Group A, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Apparatus, Group 1, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Boxing, Group 1, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Canne, Group 1, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Fencing, Group 1, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Military Exercises, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Pyramids without Apparatus, Group 1, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Pyramids with Apparatus, Group 1, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Ballet, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Tournament, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Statue Poses, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Special Event, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Racing Contest, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, National Championships, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Olympic Championships, Individual, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Shooting Championships, Youth, Men  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Shooting Championships, Honorary Members and Associates, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Instructors, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Advanced, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Swimming, Team, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Swimming, Individual, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Gymnastics, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Alternative Contest, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Simultaneous Contest, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Racing Contest, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Handsfree, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Apparatus, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Wrestling, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Boxing, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Pyramids without Apparatus, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Pyramids with Apparatus, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Individual, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Artistic, Individual, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Olympic Competition, Individual, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Gymnastics, Team, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Simultaneous Contest (#2), Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Race, Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Individual (#2), Men  (discontinued)"
Artistic Gymnastics,"Festival for Societies of the Seine, Swimming, students, individuals, societies, Men  (discontinued)"
Artistic Gymnastics,"Team Portable Apparatus, Women  (discontinued)"
Artistic Gymnastics,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, Shooting Championships, Honorary Members and Associates, Women  (discontinued)"
Artistic Gymnastics,"Swedish Gymnastics, Open  (discontinued)"
Artistic Swimming,"Duet, Women"
Artistic Swimming,"Team, Women"
Artistic Swimming,"Solo, Women  (discontinued)"
Athletics,"100 metres, Men"
Athletics,"200 metres, Men"
Athletics,"400 metres, Men"
Athletics,"800 metres, Men"
Athletics,"1,500 metres, Men"
Athletics,"5,000 metres, Men"
Athletics,"10,000 metres, Men"
Athletics,"Marathon, Men"
Athletics,"110 metres Hurdles, Men"
Athletics,"400 metres Hurdles, Men"
Athletics,"3,000 metres Steeplechase, Men"
Athletics,"4 × 100 metres Relay, Men"
Athletics,"4 × 400 metres Relay, Men"
Athletics,"20 kilometres Race Walk, Men"
Athletics,"50 kilometres Race Walk, Men"
Athletics,"High Jump, Men"
Athletics,"Pole Vault, Men"
Athletics,"Long Jump, Men"
Athletics,"Triple Jump, Men"
Athletics,"Shot Put, Men"
Athletics,"Discus Throw, Men"
Athletics,"Hammer Throw, Men"
Athletics,"Javelin Throw, Men"
Athletics,"Decathlon, Men"
Athletics,"100 metres, Women"
Athletics,"200 metres, Women"
Athletics,"400 metres, Women"
Athletics,"800 metres, Women"
Athletics,"1,500 metres, Women"
Athletics,"5,000 metres, Women"
Athletics,"10,000 metres, Women"
Athletics,"Marathon, Women"
Athletics,"100 metres Hurdles, Women"
Athletics,"400 metres Hurdles, Women"
Athletics,"3,000 metres Steeplechase, Women"
Athletics,"4 × 100 metres Relay, Women"
Athletics,"4 × 400 metres Relay, Women"
Athletics,"20 kilometres Race Walk, Women"
Athletics,"High Jump, Women"
Athletics,"Pole Vault, Women"
Athletics,"Long Jump, Women"
Athletics,"Triple Jump, Women"
Athletics,"Shot Put, Women"
Athletics,"Discus Throw, Women"
Athletics,"Hammer Throw, Women"
Athletics,"Javelin Throw, Women"
Athletics,"Heptathlon, Women"
Athletics,"4 × 400 metres Relay, Mixed"
Athletics,"100 metres, Boys"
Athletics,"200 metres, Boys"
Athletics,"400 metres, Boys"
Athletics,"800 metres, Boys"
Athletics,"1,000 metres, Boys"
Athletics,"1,500 metres, Boys"
Athletics,"3,000 metres, Boys"
Athletics,"110 metres Hurdles, Boys"
Athletics,"400 metres Hurdles, Boys"
Athletics,"2,000 metres Steeplechase, Boys"
Athletics,"Medley Relay, Boys"
Athletics,"10,000 metres Race Walk, Boys"
Athletics,"High Jump, Boys"
Athletics,"Pole Vault, Boys"
Athletics,"Long Jump, Boys"
Athletics,"Triple Jump, Boys"
Athletics,"Shot Put, Boys"
Athletics,"Discus Throw, Boys"
Athletics,"Hammer Throw, Boys"
Athletics,"Javelin Throw, Boys"
Athletics,"5,000 metres Race Walk, Boys"
Athletics,"100 metres, Girls"
Athletics,"200 metres, Girls"
Athletics,"400 metres, Girls"
Athletics,"800 metres, Girls"
Athletics,"1,000 metres, Girls"
Athletics,"1,500 metres, Girls"
Athletics,"3,000 metres, Girls"
Athletics,"100 metres Hurdles, Girls"
Athletics,"400 metres Hurdles, Girls"
Athletics,"2,000 metres Steeplechase, Girls"
Athletics,"Medley Relay, Girls"
Athletics,"5,000 metres Race Walk, Girls"
Athletics,"High Jump, Girls"
Athletics,"Pole Vault, Girls"
Athletics,"Long Jump, Girls"
Athletics,"Triple Jump, Girls"
Athletics,"Shot Put, Girls"
Athletics,"Discus Throw, Girls"
Athletics,"Hammer Throw, Girls"
Athletics,"Javelin Throw, Girls"
Athletics,"5,000 metres Walk, Girls"
Athletics,"8 × 100 metres Relay, Mixed Youth"
Athletics,"60 metres, Men  (discontinued)"
Athletics,"100 yards, Men  (discontinued)"
Athletics,"220 yards, Men  (discontinued)"
Athletics,"Stade Race, Men  (discontinued)"
Athletics,"440 yards, Men  (discontinued)"
Athletics,"Diaulos, Men  (discontinued)"
Athletics,"880 yards, Men  (discontinued)"
Athletics,"1 mile, Men  (discontinued)"
Athletics,"2 miles, Men  (discontinued)"
Athletics,"Long Race (Dolikhos), Men  (discontinued)"
Athletics,"5 miles, Men  (discontinued)"
Athletics,"120 yards Hurdles, Men  (discontinued)"
Athletics,"200 metres Hurdles, Men  (discontinued)"
Athletics,"220 yards Hurdles, Men  (discontinued)"
Athletics,"2,500 metres Steeplechase, Men  (discontinued)"
Athletics,"2,590 metres Steeplechase, Men  (discontinued)"
Athletics,"3,200 metres Steeplechase, Men  (discontinued)"
Athletics,"4,000 metres Steeplechase, Men  (discontinued)"
Athletics,"4 × 440 yards Relay, Men  (discontinued)"
Athletics,"1,600 metres Medley Relay, Men  (discontinued)"
Athletics,"3,000 metres, Team, Men  (discontinued)"
Athletics,"3 miles, Team, Men  (discontinued)"
Athletics,"5,000 metres, Team, Men  (discontinued)"
Athletics,"4 miles, Team, Men  (discontinued)"
Athletics,"1,500 metres Race Walk, Men  (discontinued)"
Athletics,"3,000 metres Race Walk, Men  (discontinued)"
Athletics,"3,500 metres Race Walk, Men  (discontinued)"
Athletics,"10 kilometres Race Walk, Men  (discontinued)"
Athletics,"10 miles Race Walk, Men  (discontinued)"
Athletics,"Cross-Country, Individual, Men  (discontinued)"
Athletics,"Cross-Country, Team, Men  (discontinued)"
Athletics,"Standing High Jump, Men  (discontinued)"
Athletics,"Standing Long Jump, Men  (discontinued)"
Athletics,"Standing Triple Jump, Men  (discontinued)"
Athletics,"Plain Jump, Men  (discontinued)"
Athletics,"Over the Ditch Jump, Men  (discontinued)"
Athletics,"Shot Put, Both Hands, Men  (discontinued)"
Athletics,"56-pound Weight Throw, Men  (discontinued)"
Athletics,"Stone Throw, Men  (discontinued)"
Athletics,"Discus Throw, Greek Style, Men  (discontinued)"
Athletics,"Discus Throw, Both Hands, Men  (discontinued)"
Athletics,"Javelin Throw, Both Hands, Men  (discontinued)"
Athletics,"Javelin Throw, Freestyle, Men  (discontinued)"
Athletics,"Javelin Throw for Accuracy, Men  (discontinued)"
Athletics,"Bolo Throw, Men  (discontinued)"
Athletics,"Baseball Throw, Men  (discontinued)"
Athletics,"Ball Throw for Accuracy, Men  (discontinued)"
Athletics,"Pentathlon, Men  (discontinued)"
Athletics,"Pentathlon (Ancient), Men  (discontinued)"
Athletics,"Pentathlon, Team, Men  (discontinued)"
Athletics,"All-Around Championship, Men  (discontinued)"
Athletics,"Team, Men  (discontinued)"
Athletics,"Special Scratch Pole Vault #1, Men  (discontinued)"
Athletics,"Special Scratch Pole Vault #2, Men  (discontinued)"
Athletics,"Pole Vault Over a Ditch, Men  (discontinued)"
Athletics,"60 yards, Handicap, Men  (discontinued)"
Athletics,"100 yards, Handicap, Men  (discontinued)"
Athletics,"100 metres, Handicap, Men  (discontinued)"
Athletics,"220 yards, Handicap, Men  (discontinued)"
Athletics,"400 metres, Handicap, Men  (discontinued)"
Athletics,"440 yards, Handicap, Men  (discontinued)"
Athletics,"800 metres, Handicap, Men  (discontinued)"
Athletics,"880 yards, Handicap, Men  (discontinued)"
Athletics,"1,500 metres, Handicap, Men  (discontinued)"
Athletics,"1 mile, Handicap, Men  (discontinued)"
Athletics,"2 miles, Handicap, Men  (discontinued)"
Athletics,"120 yards Hurdles, Handicap, Men  (discontinued)"
Athletics,"110 metres Hurdles, Handicap, Men  (discontinued)"
Athletics,"220 yards Hurdles, Handicap, Men  (discontinued)"
Athletics,"400 metres Hurdles, Handicap, Men  (discontinued)"
Athletics,"2,500 metres Steeplechase, Handicap, Men  (discontinued)"
Athletics,"1 mile, Team, Handicap, Men  (discontinued)"
Athletics,"High Jump, Handicap, Men  (discontinued)"
Athletics,"Long Jump, Handicap, Men  (discontinued)"
Athletics,"Pole Vault, Handicap, Men  (discontinued)"
Athletics,"Shot Put, Handicap, Men  (discontinued)"
Athletics,"Discus Throw, Handicap, Men  (discontinued)"
Athletics,"Hammer Throw, Handicap, Men  (discontinued)"
Athletics,"56-pound Weight Throw, Handicap, Men  (discontinued)"
Athletics,"Team, Handicap, Men  (discontinued)"
Athletics,"100 metres, Professionals, Men  (discontinued)"
Athletics,"400 metres, Professionals, Men  (discontinued)"
Athletics,"1,500 metres, Professionals, Men  (discontinued)"
Athletics,"5,000 metres, Professionals, Men  (discontinued)"
Athletics,"6-hour race, Professionals, Men  (discontinued)"
Athletics,"110 metres Hurdles, Professionals, Men  (discontinued)"
Athletics,"2,500 metres Steeplechase, Professionals, Men  (discontinued)"
Athletics,"High Jump, Professionals, Men  (discontinued)"
Athletics,"Long Jump, Professionals, Men  (discontinued)"
Athletics,"Shot Put, Professionals, Men  (discontinued)"
Athletics,"100 metres, Professionals, Handicap, Men  (discontinued)"
Athletics,"400 metres, Professionals, Handicap, Men  (discontinued)"
Athletics,"1,500 metres, Professionals, Handicap, Men  (discontinued)"
Athletics,"High Jump, Professionals, Handicap, Men  (discontinued)"
Athletics,"Long Jump, Professionals, Handicap, Men  (discontinued)"
Athletics,"Shot Put, Professionals, Handicap, Men  (discontinued)"
Athletics,"1,500 metres Wheelchair, Men  (discontinued)"
Athletics,"Bladdering, Men  (discontinued)"
Athletics,"3,000 metres, Women  (discontinued)"
Athletics,"80 metres Hurdles, Women  (discontinued)"
Athletics,"10 kilometres Race Walk, Women  (discontinued)"
Athletics,"Pentathlon, Women  (discontinued)"
Athletics,"800 metres Wheelchair, Women  (discontinued)"
Athletics,"50 yards, Boys  (discontinued)"
Athletics,"100 yards, Boys  (discontinued)"
Athletics,"220 yards, Boys  (discontinued)"
Athletics,"440 yards, Boys  (discontinued)"
Athletics,"880 yards, Boys  (discontinued)"
Athletics,"1 mile, Boys  (discontinued)"
Athletics,"2 miles, Boys  (discontinued)"
Athletics,"5 miles, Boys  (discontinued)"
Athletics,"120 yards Hurdles, Boys  (discontinued)"
Athletics,"220 yards Hurdles, Boys  (discontinued)"
Athletics,"4 × 220 yards Relay, Boys  (discontinued)"
Athletics,"4 × 440 yards Relay, Boys  (discontinued)"
Athletics,"56-pound Weight Throw, Boys  (discontinued)"
Athletics,"Team, Boys  (discontinued)"
Australian Rules Football (non-medal only),"Australian Rules Football, Men  (discontinued)"
Automobile Racing (non-medal only),"Karting, Team, Mixed Youth"
Automobile Racing (non-medal only),"Paris-Toulouse-Paris, Cars, Men  (discontinued)"
Automobile Racing (non-medal only),"Paris-Toulouse-Paris, Voiturettes, Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Touring Cars, Two-seater, Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Touring Cars, Four-seater, Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Touring Cars, Six-seater, Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Touring Cars, Seven or more seats, Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Voiturettes, Two-seater (<250 kg), Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Voiturettes, Two-seater (<400 kg), Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Hackney Carriages, Gasoline Engine, Men  (discontinued)"
Automobile Racing (non-medal only),"Reliability Contest, Hackney Carriages, Electrical Engine, Men  (discontinued)"
